side	pair	kind	working_set	dim	rows	value_ms	ns_per_dot	ratio	status
cand384	5	current	cache_resident	128	128	0.146	5.69		ok
cand384	5	current	cache_resident	384	42	0.125	14.84		ok
cand384	5	current	cache_resident	768	21	0.122	29.01		ok
cand384	5	current	cache_resident	1536	10	0.113	56.50		ok
cand384	5	current	arena_scale	100	25000	0.164	6.55		ok
cand384	5	current	arena_scale	128	25000	0.227	9.09		ok
cand384	5	current	arena_scale	384	25000	1.173	46.92		ok
cand384	5	current	arena_scale	768	25000	2.952	118.07		ok
cand384	5	current	arena_scale	1536	25000	5.731	229.25		ok
cand384	5	block_single	cache_resident	128		0.141			ok
cand384	5	block4	cache_resident	128		0.125		0.888	ok
cand384	5	block_single	cache_resident	768		0.116			ok
cand384	5	block4	cache_resident	768		0.117		1.009	ok
cand384	5	block_single	arena_scale	128		0.197			ok
cand384	5	block4	arena_scale	128		0.200		1.012	ok
cand384	5	block_single	arena_scale	768		2.858			ok
cand384	5	block4	arena_scale	768		2.863		1.002	ok
cand384	5	block_ref	cache_resident	128		0.146		0.0688	ok
cand384	5	block_ref	cache_resident	768		0.116		0.1617	ok
cand384	5	block_ref	arena_scale	128		0.205		0.1884	ok
cand384	5	block_ref	arena_scale	768		2.843		0.0788	ok
